name,lineId,line,latitude,longitude,address
Aquarium Station,9,Blue Line (all),42.359456,-71.05357,"183 State Street, Boston"
Maverick Station,8,Blue Line (all),42.36886,-71.039926,"220 Sumner Street and Chelsea Street at Meridian Street, Boston"
(Logan) Airport Station,7,Blue Line (all),42.3727334327,-71.035194397,"Chelsea Street and Porter Street, Boston"
Wood Island Station,6,Blue Line (all),42.380797,-71.023394,"450 Bennington Street, Boston"
Orient Heights Station,5,Blue Line (all),42.386676,-71.006628,"1000 Bennington Street, Boston"
Suffolk Downs Station,4,Blue Line (all),42.3884015915,-71.0003578663,"1230 Bennington Street at Walley Street, Boston"
Beachmont Station,3,Blue Line (all),42.3974187182,-70.992193222,"630 Winthrop Avenue at 1 Bennington Street, Revere"
Revere Beach Station,2,Blue Line (all),42.4071633648,-70.992193222,"220 Shirley Avenue at 300 Ocean Avenue, Revere"
Wonderland Station,1,Blue Line (all),42.414246,-70.992144,"1300 North Shore Road, Revere"
State Station,10,Blue Line (all),42.358897,-71.057795,"200 Washington Street and 1 State Street, Boston"
Bowdoin Station,11,Blue Line (all),42.361457,-71.062129,"Cambridge Street and New Chardon Street, Boston"
Government Center Station,12,Blue Line (all),42.359297,-71.059895,"Tremont Street at Court Street at Cambridge Street, Boston"
Copley Station,9,Green Line (all),42.349962,-71.078089,"640 Boylston Street and 230 Dartmouth Street, Boston"
Arlington Station,8,Green Line (all),42.351868,-71.070498,"300 Boylston Street and 20 Arlington Street, Boston"
Science Park Station,2,Green Line (all),42.3666775177,-71.0681641102,"Nashua Street at Charles Street, Boston"
Lechmere Station,1,Green Line (all),42.370582,-71.076884,"1 First Street, Cambridge"
Government Center Station,5,Green Line (all),42.359297,-71.059895,"Tremont Street at Court Street at Cambridge Street, Boston"
Haymarket Station,4,Green Line (all),42.362498,-71.058996,"Congress Street at New Sudbury Street, Boston"
Boylston Street Station,7,Green Line (all),42.3523914894,-71.0648703575,"Boylston Street at Tremont Street, Boston"
North Station,3,Green Line (all),42.365512,-71.061423,"135 Causeway Street at Canal Street, Boston"
Park Street Station,6,Green Line (all),42.3561971861,-71.0622954369,"Tremont Street at Park Street at Winter Street, Boston"
Hynes Convention Center/ICA Station,10,Green Line (All),42.348097,-71.088396,"100 Massachusetts Avenue and 360 Newbury Street, Boston"
Kenmore Station,11,Green Line (all),42.348797,-71.095296,"500 Commonwealth Avenue and 1 Brookline Avenue, Boston"
Hynes Convention Center/ICA Station,1,Green Line (B),42.348097,-71.088396,"100 Massachusetts Avenue and 360 Newbury Street, Boston"
Kenmore Station,2,Green Line (B),42.348797,-71.095296,"500 Commonwealth Avenue and 1 Brookline Avenue, Boston"
Chestnut Hill Avenue Station,18,Green Line (B),42.338086352,-71.1533403397,"Commonwealth Avenue at Chestnut Hill Avenue, Brighton"
South Street Station,19,Green Line (B),42.3395772832,-71.1577820778,"Commonwealth Avenue and South Street, Brighton"
Boston College Station,20,Green Line (B),42.3399420801,-71.1661934853,"Commonwealth Avenue and Lake Street, Brighton"
Chiswick Road Station,17,Green Line (B),42.3403385961,-71.1513018608,"Commonwealth Avenue at Chiswick Road, Brighton"
Sutherland Street Station,16,Green Line (B),42.3414964086,-71.1466240883,"Commonwealth Avenue at Sutherland Street, Brighton"
Washington Street Station,15,Green Line (B),42.3436850916,-71.1428689957,"Commonwealth Avenue at Washington Street, Brighton"
Allston Street Station,13,Green Line (B),42.3484428354,-71.1377835274,"Commonwealth Avenue at Allston Street, Allston"
Warren Street Station,14,Green Line (B),42.3484745525,-71.140294075,"Commonwealth Avenue at Warren Street, Allston"
Griggs Street / Long Avenue Station,12,Green Line (B),42.3487124302,-71.1341571808,"Commonwealth Avenue at Griggs Street, Allston"
Blandford Street Station,3,Green Line (B),42.349297,-71.100796,"Commonwealth Avenue at Sherborn Street, Boston"
Boston University East Station,4,Green Line (B),42.349648,-71.103825,"Commonwealth Avenue near Granby Street, Boston"
Boston University Central Station,5,Green Line (B),42.3499335211,-71.1061871052,"Commonwealth Avenue near St. Marys Street, Boston"
Harvard Avenue Station,11,Green Line (B),42.3502348256,-71.1310243607,"Commonwealth Avenue at Harvard Avenue, Allston"
Boston University West Station,6,Green Line (B),42.350900862,-71.1140727997,"Commonwealth Avenue near Amory Street, Boston"
St. Paul Street Station (B),7,Green Line (B),42.3511308015,-71.1159074306,"Commonwealth Avenue at Buick Street at St. Paul Street, Boston"
Pleasant Street Station,8,Green Line (B),42.3513448824,-71.1182141304,"Commonwealth Avenue at Pleasant Street, Boston"
Babcock Street Station,9,Green Line (B),42.3517413265,-71.1212611198,"Commonwealth Avenue at Babcock Street, Boston"
Packards Corner Station,10,Green Line (B),42.3520743376,-71.1248660088,"Commonwealth Avenue at Brighton Avenue, Boston"
Hynes Convention Center/ICA Station,1,Green Line (C),42.348097,-71.088396,"100 Massachusetts Avenue and 360 Newbury Street, Boston"
Kenmore Station,2,Green Line (C),42.348797,-71.095296,"500 Commonwealth Avenue and 1 Brookline Avenue, Boston"
Cleveland Circle Station,15,Green Line (C),42.335897474,-71.1507225037,"Beacon Street at Chestnut Hill Avenue, Brighton"
Englewood Avenue Station,14,Green Line (C),42.3371346753,-71.1451220512,"Beacon Street at Englewood Avenue, Brookline"
Dean Road Station,13,Green Line (C),42.337705683,-71.1419677734,"Beacon Street at Dean Road, Brookline"
Tappan Street Station,12,Green Line (C),42.3384670186,-71.138792038,"Beacon Street at Tappan Street, Brookline"
Washington Square Station,11,Green Line (C),42.339339371,-71.1354231834,"Beacon Street at Washington Street, Brookline"
Fairbanks Station,10,Green Line (C),42.3396090047,-71.1313462257,"Beacon Street at Fairbanks Avenue, Brookline"
Brandon Hall Station,9,Green Line (C),42.340072,-71.128526,"1477-1485 Beacon Street, Brookline"
Summit Avenue (formerly Winchester Street) Station,8,Green Line (C),42.3412822942,-71.1246192455,"Beacon Street at Winchester Street, Brookline"
Coolidge Corner Station,7,Green Line (C),42.342097,-71.121396,"Beacon Street at Harvard Street, Brookline"
St. Paul Street Station (C),6,Green Line (C),42.3432251573,-71.1173450947,"Beacon Street at St. Paul Street, Brookline"
Kent Street Station,5,Green Line (C),42.343997,-71.114596,"Beacon Street at Powell Street, Brookline"
Hawes Street Station,4,Green Line (C),42.3449538585,-71.1110150814,"Beacon Street at Hawes Street, Brookline"
St. Marys Street Station,3,Green Line (C),42.3461353747,-71.1068093777,"Beacon Street at St. Mary's Street, Boston"
Hynes Convention Center/ICA Station,1,Green Line (D),42.348097,-71.088396,"100 Massachusetts Avenue and 360 Newbury Street, Boston"
Kenmore Station,2,Green Line (D),42.348797,-71.095296,"500 Commonwealth Avenue and 1 Brookline Avenue, Boston"
Eliot Station,12,Green Line (D),42.3191928749,-71.2169194221,"Boylston Street (Route 9) at Woodward Street, Newton"
